BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE,BEGIN_DATE,BEGIN_DATETIME,END_DATE,END_DATETIME,storm_severity,storm_duration,Storm_Severity
195204,18,1415,195204,18,1415,,10123417,TEXAS,48,1952,April,Tornado,C,213,HENDERSON,,18-APR-52 14:15:00,CST,18-APR-52 14:15:00,0,0,0,0,2500.0,0,,0,,,,F1,0.8,200,,,,,0,,,0,,,32.22,-95.85,,,,,PUB,19520418,1952-04-18 14:01:05,19520418,1952-04-18 14:01:05,Low,0.0,Low
195204,21,1215,195204,21,1215,,10123418,TEXAS,48,1952,April,Tornado,C,309,MCLENNAN,,21-APR-52 12:15:00,CST,21-APR-52 12:15:00,0,0,0,0,25000.0,0,,0,,,,F4,2.3,200,,,,,0,,,0,,,31.5,-97.45,31.48,-97.42,,,PUB,19520421,1952-04-21 12:01:05,19520421,1952-04-21 12:01:05,Low,0.0,Moderate
195211,14,2100,195211,14,2100,,9982822,ARIZONA,4,1952,November,Tornado,C,25,YAVAPAI,,14-NOV-52 21:00:00,CST,14-NOV-52 21:00:00,0,0,0,0,0.0,0,,0,,,,,0.2,200,,,,,0,,,0,,,35.13,-112.57,,,,,PUB,19521114,1952-11-14 21:00:00,19521114,1952-11-14 21:00:00,Low,0.0,Low
195205,6,1300,195205,6,1300,,10075659,NEW YORK,36,1952,May,Tornado,C,31,ESSEX,,06-MAY-52 13:00:00,CST,06-MAY-52 13:00:00,0,0,0,0,25000.0,0,,0,,,,F2,4.9,200,,,,,0,,,0,,,44.33,-74.0,44.38,-73.92,,,PUB,19520506,1952-05-06 13:00:00,19520506,1952-05-06 13:00:00,Low,0.0,Moderate
195209,17,1130,195209,17,1130,,10076649,NORTH CAROLINA,37,1952,September,Tornado,C,55,DARE,,17-SEP-52 11:30:00,CST,17-SEP-52 11:30:00,0,0,0,0,25000.0,0,,0,,,,F3,1.0,50,,,,,0,,,0,,,35.95,-75.6,,,,,PUB,19520917,1952-09-17 11:03:00,19520917,1952-09-17 11:03:00,Low,0.0,Moderate
195202,13,2200,195202,13,2200,,10047286,MISSISSIPPI,28,1952,February,Tornado,C,95,MONROE,,13-FEB-52 22:00:00,CST,13-FEB-52 22:00:00,1,0,0,0,25000.0,0,,0,,,,F1,0.0,33,,,,,0,,,0,,,33.85,-88.47,,,,,PUB,19520213,1952-02-13 22:00:00,19520213,1952-02-13 22:00:00,Low,0.0,Moderate
195202,13,2230,195202,13,2230,,10047287,MISSISSIPPI,28,1952,February,Tornado,C,45,HANCOCK,,13-FEB-52 22:30:00,CST,13-FEB-52 22:30:00,2,0,0,0,0.0,0,,0,,,,F1,0.0,33,,,,,0,,,0,,,30.42,-89.48,,,,,PUB,19520213,1952-02-13 22:03:00,19520213,1952-02-13 22:03:00,Low,0.0,Low
195203,21,2030,195203,21,2030,,10047288,MISSISSIPPI,28,1952,March,Tornado,C,89,MADISON,,21-MAR-52 20:30:00,CST,21-MAR-52 20:30:00,1,0,0,0,2500.0,0,,0,,,,,0.0,20,,,,,0,,,0,,,32.47,-90.12,,,,,PUB,19520321,1952-03-21 20:03:00,19520321,1952-03-21 20:03:00,Low,0.0,Low
195203,21,2200,195203,21,2200,,10047289,MISSISSIPPI,28,1952,March,Tornado,C,93,MARSHALL,,21-MAR-52 22:00:00,CST,21-MAR-52 22:00:00,24,0,9,0,250000.0,0,,0,,,,F4,10.9,100,,,,,0,,,0,,,34.87,-89.68,35.0,-89.58,,,PUB,19520321,1952-03-21 22:00:00,19520321,1952-03-21 22:00:00,Low,0.0,High
195207,29,1600,195207,29,1600,,10047290,MISSISSIPPI,28,1952,July,Tornado,C,31,COVINGTON,,29-JUL-52 16:00:00,CST,29-JUL-52 16:00:00,0,0,0,0,25000.0,0,,0,,,,,0.0,33,,,,,0,,,0,,,31.62,-89.53,,,,,PUB,19520729,1952-07-29 16:00:00,19520729,1952-07-29 16:00:00,Low,0.0,Moderate
